32;492;525;11;20;10;0
33;1008;0;11;20;10;0
34;1008;21;11;20;10;0
35;1008;42;11;20;10;0
36;1008;63;11;20;10;0
37;1008;84;11;20;10;0
38;1008;105;11;20;10;0
39;1008;126;11;20;10;0
40;1008;147;11;20;10;0
41;1008;168;11;20;10;0
42;1008;189;11;20;10;0
43;1008;210;11;20;10;0
44;1008;231;11;20;10;0
45;1008;252;11;20;10;0
46;1008;273;11;20;10;0
47;1008;294;11;20;10;0
48;1008;315;11;20;10;0
49;1008;336;11;20;10;0
50;1008;357;11;20;10;0
51;1008;378;11;20;10;0
52;1008;399;11;20;10;0
53;1008;420;11;20;10;0
54;1008;441;11;20;10;0
55;1008;462;11;20;10;0
56;1008;483;11;20;10;0
57;798;504;11;20;10;0
58;810;504;11;20;10;0
61;822;504;11;20;10;0
63;834;504;11;20;10;0
64;846;504;11;20;10;0
65;858;504;11;20;10;0
66;870;504;11;20;10;0
67;882;504;11;20;10;0
68;894;504;11;20;10;0
69;906;504;11;20;10;0
70;918;504;11;20;10;0
71;930;504;11;20;10;0
72;942;504;11;20;10;0
73;954;504;11;20;10;0
74;966;504;11;20;10;0
75;978;504;11;20;10;0
76;990;504;11;20;10;0
77;1002;504;11;20;10;0
78;0;525;11;20;10;0
79;12;525;11;20;10;0
80;24;525;11;20;10;0
81;36;525;11;20;10;0
82;48;525;11;20;10;0
83;60;525;11;20;10;0
84;72;525;11;20;10;0
85;84;525;11;20;10;0
86;96;525;11;20;10;0
87;108;525;11;20;10;0
88;120;525;11;20;10;0
89;132;525;11;20;10;0
90;144;525;11;20;10;0
92;156;525;11;20;10;0
97;168;525;11;20;10;0
98;180;525;11;20;10;0
99;192;525;11;20;10;0
100;204;525;11;20;10;0
101;216;525;11;20;10;0
102;228;525;11;20;10;0
103;240;525;11;20;10;0
104;252;525;11;20;10;0
105;264;525;11;20;10;0
106;276;525;11;20;10;0
107;288;525;11;20;10;0
108;300;525;11;20;10;0
109;312;525;11;20;10;0
110;324;525;11;20;10;0
111;336;525;11;20;10;0
112;348;525;11;20;10;0
113;360;525;11;20;10;0
114;372;525;11;20;10;0
115;384;525;11;20;10;0
116;396;525;11;20;10;0
117;408;525;11;20;10;0
118;420;525;11;20;10;0
119;432;525;11;20;10;0
120;444;525;11;20;10;0
121;456;525;11;20;10;0
122;468;525;11;20;10;0
126;480;525;11;20;10;0
8212;756;21;20;20;19;0
8230;777;21;20;20;19;0
8251;798;21;20;20;19;0
12290;819;21;20;20;19;0
